SCode,StkCode,Quantity,UnitPrice, Cost  ,CustomerID,CardType,Country, IntChg ,Loss ,Gender
A,Soap,6,3,15,17850,Silver,India ,4,1,F
A,Soap,6,3,20,17850,Signature,India ,5,1,F
A,Soap,8,3,22,17850,Gold,India ,5,1,F
A,Soap,6,3,20,17850,Silver,India ,5,1,F
A,Soap,6,3,20,17850,Gold,India ,5,1,M
A,Soap,2,8,15,17850,Platinum,India ,4,1,M
A,Soap,6,4,26,17850,Silver,India ,6,1,M
A,Soap,6,2,11,17850,Platinum,India ,3,1,M
A,Soap,6,2,11,17850,Platinum,India ,3,1,M
A,Soap,32,2,54,13047,Signature,India ,12,1,M
A,Soap,6,2,13,13047,Gold,India ,3,1,M
A,Soap,6,2,13,13047,Signature,India ,3,1,M
A,Soap,8,4,30,13047,Signature,India ,7,1,M
A,Soap,6,2,10,13047,Platinum,India ,2,1,M
A,Soap,6,4,26,13047,Signature,India ,6,1,M
A,Soap,3,5,15,13047,Gold,India ,3,1,M
B,Soap,2,10,20,13047,Platinum,India ,5,1,M
B,Toilet Paper,3,6,18,13047,Platinum,India ,4,1,M
B,Toilet Paper,3,6,18,13047,Signature,India ,4,1,M
B,Toilet Paper,4,8,32,13047,Signature,India ,7,1,M
B,Toilet Paper,4,8,32,13047,Signature,India ,7,1,M
B,Toilet Paper,6,4,26,13047,Signature,India ,6,1,M
B,Toilet Paper,3,5,15,13047,Silver,India ,3,1,M
B,Toilet Paper,3,5,15,13047,Gold,India ,3,1,M
B,Toilet Paper,3,5,15,13047,Gold,India ,3,2,M
C,Toilet Paper,3,6,18,13047,Silver,India ,4,2,M
B,Plates ,80,3,204,13748,Gold,India ,47,2,M
B,Toilet Paper,6,2,11,17850,Platinum,India ,3,2,M
B,Toilet Paper,6,2,11,17850,Gold,India ,3,2,M
B,Toilet Paper,6,3,15,17850,Signature,India ,4,2,M
B,Toilet Paper,6,3,20,17850,Signature,India ,5,2,M
C,Toilet Paper,8,3,22,17850,Platinum,India ,5,2,M
C,Plates ,6,5,30,17850,Signature,India ,7,2,M
C,Plates ,6,1,6,17850,Signature,India ,1,2,M
C,Plates ,6,1,6,17850,Signature,India ,1,2,M
C,Plates ,6,1,6,17850,Silver,India ,1,2,M
C,Plates ,6,1,6,17850,Signature,India ,1,2,M
C,Plates ,2,5,10,17850,Platinum,India ,2,2,M
C,Plates ,4,7,28,17850,Platinum,India ,6,2,M
C,Plates ,6,2,13,17850,Silver,India ,3,2,M
C,Plates ,6,3,15,17850,Platinum,India ,4,2,M
C,Plates ,6,3,20,17850,Platinum,India ,5,2,M
C,Plates ,6,3,20,17850,Platinum,India ,5,2,M
C,Plates ,2,8,15,17850,Signature,India ,4,2,M
C,Plates ,6,4,26,17850,Platinum,India ,6,2,M
D,Plates ,32,11,350,15100,Platinum,India ,81,2,M
D,Napkins,6,3,15,17850,Gold,India ,4,2,M
D,Napkins,6,3,20,17850,Platinum,India ,5,2,M
D,Napkins,8,3,22,17850,Gold,India ,5,2,M
D,Napkins,6,5,30,17850,Gold,India ,7,2,M
D,Napkins,6,1,6,17850,Gold,India ,1,2,M
D,Napkins,6,1,6,17850,Silver,India ,1,2,M
D,Napkins,6,1,6,17850,Signature,India ,1,2,M
D,Napkins,6,1,6,17850,Platinum,India ,1,2,M
D,Napkins,2,5,10,17850,Silver,India ,2,3,M
D,Napkins,4,7,28,17850,Platinum,India ,6,3,M
D,Napkins,6,2,13,17850,Gold,India ,3,3,M
D,Napkins,6,3,15,17850,Platinum,India ,4,3,M
D,Napkins,6,3,20,17850,Silver,India ,5,3,M
D,Napkins,2,3,5,14911,Signature,India ,1,4,M
E,Napkins,1,34,34,14911,Silver,India ,8,5,M
E,Spoons,1,2,2,14911,Gold,India ,0,5,M
E,Spoons,1,3,3,14911,Silver,India ,1,4,M
E,Spoons,1,8,8,14911,Signature,India ,2,5,M
E,Spoons,2,8,17,14911,Silver,India ,4,2,M
E,Spoons,1,3,3,14911,Signature,India ,1,2,M
E,Spoons,5,8,38,14911,Silver,India ,9,1,M
E,Spoons,2,6,12,14911,Platinum,India ,3,3,M
E,Spoons,1,8,8,14911,Silver,India ,2,1,M
E,Spoons,1,11,11,14911,Gold,India ,3,1,M
E,Spoons,2,4,8,14911,Silver,India ,2,3,M
E,Spoons,1,8,8,14911,Signature,India ,2,3,M
E,Spoons,1,5,5,14723,Platinum,India ,1,1,M
E,Spoons,2,1,2,14723,Platinum,India ,0,1,M
E,Spoons,1,5,5,14723,Signature,India ,1,1,M
F,Spoons,1,4,4,14723,Gold,India ,1,3,M
F,Diapers ,1,30,30,14723,Signature,India ,7,2,M
F,Diapers ,1,25,25,14723,Signature,India ,6,8,M
F,Diapers ,1,2,2,14723,Silver,India ,0,1,M
F,Diapers ,1,2,2,14723,Signature,India ,0,1,M
F,Diapers ,1,3,3,14723,Gold,India ,1,1,M
F,Diapers ,1,2,2,14723,Platinum,India ,0,3,M
F,Diapers ,3,2,5,14723,Silver,India ,1,2,M
F,Diapers ,1,2,2,14723,Signature,India ,0,2,M
F,Diapers ,1,2,2,14723,Silver,India ,0,1,M
F,Diapers ,1,6,6,14723,Gold,India ,1,1,M
F,Diapers ,1,1,1,14723,Silver,India ,0,1,M
F,Diapers ,2,2,3,14723,Silver,India ,1,3,M
F,Diapers ,1,5,5,14723,Platinum,India ,1,3,M
F,Diapers ,2,2,3,14723,Silver,India ,1,1,M
F,Diapers ,2,2,3,14723,Gold,India ,1,1,M
G,Diapers ,1,2,2,17954,Platinum,India ,0,1,M
G,Baby Wipes ,2,3,7,17954,Silver,India ,2,1,M
G,Baby Wipes ,2,6,12,17954,Signature,India ,3,1,M
G,Baby Wipes ,1,6,6,17954,Gold,India ,1,1,M
G,Baby Wipes ,1,6,6,17954,Gold,India ,1,1,M
G,Baby Wipes ,2,3,5,17954,Silver,India ,1,1,M
G,Baby Wipes ,1,8,8,17954,Signature,India ,2,1,M
G,Baby Wipes ,14,1,12,17954,Signature,India ,3,1,M
G,Baby Wipes ,3,2,5,17954,Platinum,India ,1,1,M
G,Baby Wipes ,3,3,8,17954,Silver,India ,2,1,M
G,Baby Wipes ,38,0,16,17954,Silver,India ,4,1,M
G,Baby Wipes ,23,0,10,17954,Gold,India ,2,2,M
G,Baby Wipes ,18,0,8,17954,Gold,India ,2,3,M
G,Baby Wipes ,5,3,13,17954,Gold,India ,3,4,M
G,Baby Wipes ,5,3,13,17954,Platinum,India ,3,5,M
G,Baby Wipes ,5,3,13,17841,Platinum,India ,3,5,M
G,Baby Wipes ,1,10,10,17841,Silver,India ,2,4,M
